event_id,event_name,event_date,event_time,location_id,organizer_id,description,event_type,capacity,status
1,Big.,2026-01-13,07:50:42,8,4,Home foreign see instead. Play bed seem a world upon. Clearly score report later situation quality fund.,Webinar,80,Completed
2,Sing.,2025-08-19,09:48:14,1,4,Thought value turn season. Investment water state big building oil everybody partner. Industry strong western physical heavy.,Conference,164,Scheduled
3,Series pay rest.,2024-03-20,06:12:25,6,7,"Sell wish light catch authority follow.
Each make respond. Fund article evening seat. Effect talk for story take as must. I thing beautiful or.
Simple thousand official onto fact summer.",Workshop,198,Cancelled
4,Record growth.,2024-09-14,22:29:17,2,5,Trip sure food gas soon soldier. Half toward child take next. Activity find fire.,Conference,171,Cancelled
5,Century understand effort.,2025-07-11,22:08:39,10,10,"Trial perhaps they operation memory event option.
Media office forget perhaps wind Mrs occur. Analysis education city cut. Daughter so investment meet night.",Meetup,211,Cancelled
6,End kitchen people.,2025-05-08,07:22:04,5,2,"Night investment form Congress special event effort. Play build item again. Value wall risk could level.
Camera others might. Mean nation tend trip soon. Best early well perform require half.",Conference,141,Cancelled
7,Draw wide five.,2025-11-16,00:12:14,2,4,"Turn challenge cell call home color certainly. Stay feel rich risk important half personal. Huge wonder live kind sport small behind.
Dinner find memory huge. Station pay lay. Apply trip film add.",Webinar,250,Cancelled
8,Especially camera.,2024-07-25,16:21:39,4,7,"Western blue scientist business. Career cup card might true.
Notice knowledge according film page edge. Event admit end contain later.",Workshop,165,Completed
9,Wish manage success.,2025-08-30,00:59:37,10,6,Usually group apply fund. Management dinner add scientist but age agree. Pick truth authority scientist both coach. Some water throw interview language nor throughout.,Conference,280,Completed
10,Task.,2026-01-10,03:07:25,2,5,"Or them remember mission. Realize throughout TV conference best none. Argue history gun test.
Per event business article operation. Dinner field hot.",Meetup,61,Scheduled
11,Ready offer nice.,2025-12-22,11:55:02,7,10,"Girl who account concern production. Increase reality bit already wind.
Remember civil budget community. Find eight land boy clear four.",Webinar,132,Scheduled
12,Company million indeed.,2024-10-27,07:04:47,2,9,"Eight daughter dinner magazine minute.
Discover any task amount star then. Believe day build fish what mention memory concern.",Meetup,142,Scheduled
13,Effort authority.,2024-06-08,08:42:32,5,8,From remember money speak. May subject defense different. Fund agency big southern.,Workshop,214,Completed
14,Research focus company.,2024-11-02,18:55:23,9,6,School model lawyer food news sense. Central before direction national quickly. Tree talk current. Detail know receive work term hour last lawyer.,Meetup,290,Cancelled
15,Claim through computer.,2026-02-01,12:05:51,8,2,"Mission happen television lawyer growth.
Paper learn section story they matter. Data president some responsibility bad walk represent. Bank for member crime ago report food difference.",Meetup,293,Completed
16,Sort in.,2024-11-16,12:52:18,9,10,Buy option available. Bed physical trouble stand phone series. Center green both enter value land consumer.,Meetup,262,Scheduled
17,Town many security.,2024-04-29,15:14:38,5,7,Woman black popular art summer child listen. School collection southern. Spring today city though model.,Meetup,239,Cancelled
18,Possible my local.,2026-01-13,15:20:48,5,6,"Hot return dog. Ever page mention three pull. Pattern turn believe represent body law.
Congress off amount. Meeting soldier name knowledge within. American hope chair support.",Webinar,60,Scheduled
19,Here thought grow.,2025-10-08,01:40:00,4,4,"Onto space budget whether. Major price body within side show near he. End election level information past quite.
Sport low bed bed experience behavior purpose avoid. Early key list.",Meetup,241,Completed
20,Other garden.,2024-02-25,11:09:38,6,6,Always financial contain agent southern while. Assume feel under simply rule its vote so. Service buy table scientist.,Conference,99,Scheduled
